#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
506.080065,1476,7634.131897
725.820998,1246,7638.11103
737.11191,1187,7641.536999
738.893483,1171,7644.85173
744.6122,1118,7662.552745
698.577769,1133,7666.010926
683.974947,1262,7669.79906
712.814015,1386,7687.757778
531.665982,1785,7693.030677
741.9497,1143,7696.246998
636.281569,1610,7714.713659
738.228391,1177,7718.239038
744.084696,1123,7721.411368
726.370905,1279,7737.795769
574.399696,1663,7742.705707
743.978885,1124,7746.721043
724.784915,1292,7763.663535
646.612405,1817,7769.015397
741.734002,1145,7772.271516
547.181544,1146,7789.976926
741.949697,1143,7793.425486
696.392015,1505,7797.982178
741.949699,1143,7815.671125
739.555006,1165,7819.354741
529.589986,1865,7824.678859
740.540507,1156,7840.544008
682.972907,1559,7846.179539
541.427768,1198,7849.770787
714.522178,1373,7866.42957
747.622398,1089,7869.657448
745.137184,1113,7872.89397
740.431389,1157,7876.24694
742.272505,1140,7893.234992
738.005894,1179,7896.662397
742.915402,1134,7899.788754
743.767019,1126,7917.027829
515.078898,1999,7923.156476
696.306409,1474,7927.257812
746.490506,1100,7943.380501
729.966418,1249,7948.254111
1300.933477,1760,7953.579026
717.374501,1351,7970.30573
749.347918,1072,7973.470006
740.975897,1152,7976.742085
709.481508,1411,7994.277477
742.487203,1138,7997.707615
548.364041,1135,8000.999767
748.030996,1085,8004.061482
743.873002,1125,8020.895454
712.019891,1392,8025.046557
744.401504,1120,8028.179838
714.783502,1371,8046.588242
747.417507,1091,8050.206359
713.73592,1379,8054.174387
583.862199,1638,8071.997808
747.417509,1091,8075.22994
549.216458,1127,8079.552867
747.826898,1087,8095.680936
739.994002,1161,8099.179871
742.379896,1139,8102.600233
685.011401,1582,8107.121072
540.860261,1203,8124.435323
738.893485,1171,8127.955608
743.767018,1126,8131.133146
740.867186,1153,8148.040891
743.128894,1132,8151.587614
741.841914,1144,8154.867365
603.03468,1608,8172.298592
744.506919,1119,8175.685769
742.057382,1142,8180.00375
743.341995,1130,8183.17981
741.301405,1149,8199.187414
744.084693,1123,8202.737011
743.978883,1124,8205.921044
742.272511,1140,8209.189425
725.229489,1251,8227.1722
742.701502,1136,8230.494986
745.032398,1114,8233.734653
744.295994,1121,8250.657688
738.672216,1173,8254.227741
743.128894,1132,8257.523701
743.44841,1129,8260.762369
744.612202,1118,8278.15204
744.612202,1118,8281.586796
743.767013,1126,8284.806469
720.051984,1330,8301.186685
743.660905,1127,8304.440795
741.841916,1144,8307.846247
728.897189,1258,8312.289816
738.893482,1171,8328.7811
740.103481,1160,8332.322689
579.278992,1670,8337.007425
744.612203,1118,8354.381772
744.612203,1118,8357.732429
743.660905,1127,8361.28074
743.873001,1125,8378.890429
550.167759,1118,8382.532725
744.506918,1119,8385.84018
742.915399,1134,8389.053408
741.192995,1150,8405.473171
747.417503,1091,8408.855193
745.763901,1107,8412.999264
746.903498,1096,8416.106572
728.509708,1223,8432.706636
746.800412,1097,8435.997994
742.808485,1135,8439.222654
730.804709,1203,8456.968507
739.44502,1166,8460.443476
740.540509,1156,8463.862993
726.580523,1231,8467.419314
744.927514,1115,8484.258549
725.884682,1283,8488.050611
745.032397,1114,8491.181365
746.387022,1101,8507.266555
742.808488,1135,8511.67483
745.032399,1114,8514.889688
743.022213,1133,8518.194169
743.554689,1128,8533.732601
547.828064,1140,8537.127822
744.50692,1119,8540.326051
742.808486,1135,8557.257614
741.734002,1145,8560.859075
745.450991,1110,8564.052955
745.867983,1106,8567.192446
744.717385,1117,8584.053713
743.341997,1130,8587.401477
742.48721,1138,8590.705112
748.030993,1085,8593.762596
727.338496,1271,8611.312016
742.164995,1141,8614.784232
746.283409,1102,8617.872707
743.660901,1127,8634.231091
744.612204,1118,8637.778729
743.022213,1133,8641.034238
745.137183,1113,8645.315151
749.347923,1072,8661.362661
748.234692,1083,8664.587729
745.241897,1112,8667.760852
745.450987,1110,8670.894506
743.873001,1125,8688.360949
748.539503,1080,8691.551128
734.848881,1207,8694.973567
744.6122,1118,8712.337206
746.903496,1096,8715.526161
743.767017,1126,8718.934942
744.50692,1119,8722.142017
743.872996,1125,8738.56848
742.915398,1134,8742.805026
605.920517,1556,8747.298227
744.295996,1121,8763.758614
437.697907,2072,8770.071106
744.717387,1117,8773.215315
742.057381,1142,8790.829556
742.164994,1141,8794.258625
743.873001,1125,8797.454936
743.341992,1130,8800.733934
672.559409,1662,8819.510932
725.519008,1286,8823.24577
746.697204,1098,8826.353487
743.341991,1130,8843.577189
712.285025,1390,8848.01324
742.915397,1134,8851.293716
742.487204,1138,8867.633832
745.032397,1114,8871.024512
560.150493,1831,8877.204856
741.734001,1145,8893.359145
740.649519,1155,8896.787611
741.517905,1147,8900.158806
749.045514,1075,8903.164783
743.022214,1133,8920.852801
745.971999,1105,8924.084841
738.893484,1171,8927.646988
742.594423,1137,8945.741548
740.975902,1152,8949.422925
743.341991,1130,8952.591944
723.658523,1260,8956.189848
745.763901,1107,8972.337544
498.3145,1676,8978.158269
742.701499,1136,8981.409983
744.927509,1115,8997.294883
743.554687,1128,9000.779024
741.734003,1145,9003.999516
716.213502,1360,9021.894698
746.283408,1102,9025.292386
746.800411,1097,9028.550596
576.831886,1619,9033.170471
747.314891,1092,9051.263067
746.283411,1102,9054.440228
740.212898,1159,9057.901446
745.241895,1112,9075.353961
746.593887,1099,9078.859687
746.283407,1102,9082.057629
725.410005,1241,9085.532676
744.401508,1120,9102.085973
746.075915,1104,9106.392145
743.02221,1133,9109.629567
747.92901,1086,9125.279503
536.132564,1205,9128.6436
743.978888,1124,9132.007445
744.717386,1117,9135.162058
745.659717,1108,9152.299124
728.625389,1222,9155.896043
745.555406,1109,9159.132757
747.314892,1092,9162.214792
710.934693,1323,9180.65886
744.295995,1121,9183.958688
744.822501,1116,9187.043278
747.314892,1092,9203.417422
732.545911,1227,9208.172094
746.283407,1102,9211.418436
548.042761,1138,9214.902094
740.975898,1152,9231.723239
730.711489,1195,9235.251355
743.767021,1126,9239.430864
745.867986,1106,9255.893523
743.235479,1131,9259.257837
745.45099,1110,9262.479898
746.075912,1104,9265.738202
743.235478,1131,9283.057912
747.520021,1090,9286.470641
719.037197,1338,9290.414127
710.678398,1329,9307.632011
745.346507,1111,9310.938606
747.826898,1087,9314.115601
744.401507,1120,9317.241882
746.075912,1104,9333.042157
743.022216,1133,9336.700208
742.915399,1134,9340.940636
744.19041,1122,9344.138262
745.241895,1112,9360.243374
745.86798,1106,9363.583479
748.43799,1081,9366.814007
745.24189,1112,9383.854372
745.137181,1113,9387.326221
747.622403,1089,9390.4557
746.387023,1101,9393.621661
748.843385,1077,9410.772854
747.724691,1088,9414.0123
749.548983,1070,9416.988293
749.146394,1074,9420.039814
745.24189,1112,9435.961966
747.212211,1093,9440.130103
746.075912,1104,9443.448337
748.234692,1083,9446.493088
745.659717,1108,9462.474274
746.283405,1102,9465.687726
746.283411,1102,9468.811521
744.295989,1121,9485.804206
746.903501,1096,9489.102382
746.697203,1098,9492.295088
749.849895,1067,9495.411406
692.615497,1531,9513.46201
746.283407,1102,9516.644531
745.659715,1108,9519.74424
745.346507,1111,9535.867879
748.539506,1080,9540.116474
725.519003,1286,9543.794407
742.915398,1134,9546.89177
555.314502,1676,9564.482601
745.659721,1108,9567.888324
710.018903,1407,9572.854037
704.158,1450,9589.926326
741.841919,1144,9593.473845
566.079998,1665,9598.160844
742.701508,1136,9616.038324
571.232403,1642,9621.135589
432.318003,2106,9641.589926
567.665982,1785,9646.801435
746.903498,1096,9649.982112
744.295992,1121,9666.277374
747.10939,1094,9670.358922
740.758398,1154,9673.737334
745.450989,1110,9676.861034
742.057384,1142,9693.160875
735.645485,1200,9696.679164
743.022215,1133,9699.907076
746.075907,1104,9717.154845
614.472902,1559,9721.677945
747.622403,1089,9724.802633
743.873001,1125,9742.111547
747.826901,1087,9745.661634
747.109393,1094,9748.890524
741.734004,1145,9752.170096
743.978884,1124,9769.811427
744.822504,1116,9773.154975
743.235476,1131,9776.515466
740.322206,1158,9779.89557
745.7639,1107,9796.005266
745.555401,1109,9799.357053
739.664888,1164,9803.549053
737.783004,1181,9820.015003
743.767018,1126,9823.409884
744.822503,1116,9826.629735
743.34199,1130,9829.810382
748.030997,1085,9847.177261
742.915398,1134,9850.63808
745.867985,1106,9853.800953
748.336403,1082,9856.854824
732.893896,1224,9874.578853
748.640914,1079,9877.745878
747.212211,1093,9880.883958
743.235478,1131,9897.219326
732.16252,1191,9901.083812
745.032395,1114,9905.301037
748.437989,1081,9908.351416
746.697201,1098,9925.320303
747.109392,1094,9928.703547
747.724687,1088,9931.899527
744.612206,1118,9936.08348
744.822501,1116,9952.754271
745.241894,1112,9956.010076
745.659715,1108,9959.134561
744.8225,1116,9976.182572
729.506004,1210,9979.843275
723.058007,1306,9983.571925
747.212209,1093,9986.669172
745.7639,1107,10003.920657
745.450987,1110,10007.2143
747.006481,1095,10010.332824
745.659718,1108,10026.433779
746.593887,1099,10029.650956
746.59389,1099,10033.10692
744.506924,1119,10037.331644
747.314892,1092,10053.83929
745.86798,1106,10057.287774
742.594419,1137,10060.597894
745.867984,1106,10063.750486
748.539503,1080,10080.897503
748.132876,1084,10084.126371
747.212207,1093,10087.333034
746.283409,1102,10090.609852
747.417507,1091,10108.361236
746.283408,1102,10111.586129
748.030998,1085,10114.680711
744.717389,1117,10131.023773
748.944494,1076,10135.183039
748.843382,1077,10138.347433
